Date,date,i
2017-06-27,2017-06-27,9.0
2017-06-28,2017-06-28,9.0
2017-06-29,2017-06-29,9.0
2017-06-30,2017-06-30,9.0
2017-07-01,2017-07-01,9.0
2017-07-02,2017-07-02,9.0
2017-07-03,2017-07-03,9.0
2017-07-04,2017-07-04,9.0
2017-07-05,2017-07-05,9.0
2017-07-06,2017-07-06,9.0
2017-07-07,2017-07-07,9.0
2017-07-08,2017-07-08,9.0
2017-07-09,2017-07-09,9.0
2017-07-10,2017-07-10,9.0
2017-07-11,2017-07-11,9.0
2017-07-12,2017-07-12,9.0
2017-07-13,2017-07-13,9.0
2017-07-14,2017-07-14,9.0
2017-07-15,2017-07-15,9.0
2017-07-16,2017-07-16,9.0
2017-07-17,2017-07-17,9.0
2017-07-18,2017-07-18,9.0
2017-07-19,2017-07-19,9.0
2017-07-20,2017-07-20,9.0
2017-07-21,2017-07-21,9.0
2017-07-22,2017-07-22,9.0
2017-07-23,2017-07-23,9.0
2017-07-24,2017-07-24,9.0
2017-07-25,2017-07-25,9.0
2017-07-26,2017-07-26,9.0
2017-07-27,2017-07-27,9.0
2017-07-28,2017-07-28,9.0
2017-07-29,2017-07-29,9.0
2017-07-30,2017-07-30,9.0
2017-07-31,2017-07-31,9.0
2017-08-01,2017-08-01,9.0
2017-08-02,2017-08-02,9.0
2017-08-03,2017-08-03,9.0
2017-08-04,2017-08-04,9.0
2017-08-05,2017-08-05,9.0
2017-08-06,2017-08-06,9.0
2017-08-07,2017-08-07,9.0
2017-08-08,2017-08-08,9.0
2017-08-09,2017-08-09,9.0
2017-08-10,2017-08-10,9.0
2017-08-11,2017-08-11,9.0
2017-08-12,2017-08-12,9.0
2017-08-13,2017-08-13,9.0
2017-08-14,2017-08-14,9.0
2017-08-15,2017-08-15,9.0
2017-08-16,2017-08-16,9.0
2017-08-17,2017-08-17,9.0
2017-08-18,2017-08-18,9.0
2017-08-19,2017-08-19,9.0
2017-08-20,2017-08-20,9.0
2017-08-21,2017-08-21,9.0
2017-08-22,2017-08-22,9.0
2017-08-23,2017-08-23,9.0
2017-08-24,2017-08-24,9.0
2017-08-25,2017-08-25,9.0
2017-08-26,2017-08-26,9.0
2017-08-27,2017-08-27,9.0
2017-08-28,2017-08-28,9.0
2017-08-29,2017-08-29,9.0
2017-08-30,2017-08-30,9.0
2017-08-31,2017-08-31,9.0
2017-09-01,2017-09-01,9.0
2017-09-02,2017-09-02,9.0
2017-09-03,2017-09-03,9.0
2017-09-04,2017-09-04,9.0
2017-09-05,2017-09-05,9.0
2017-09-06,2017-09-06,9.0
2017-09-07,2017-09-07,9.0
2017-09-08,2017-09-08,9.0
2017-09-09,2017-09-09,9.0
2017-09-10,2017-09-10,9.0
2017-09-11,2017-09-11,9.0
2017-09-12,2017-09-12,9.0
2017-09-13,2017-09-13,9.0
2017-09-14,2017-09-14,9.0
2017-09-15,2017-09-15,9.0
2017-09-16,2017-09-16,9.0
2017-09-17,2017-09-17,9.0
2017-09-18,2017-09-18,8.5
2017-09-19,2017-09-19,8.5
2017-09-20,2017-09-20,8.5
2017-09-21,2017-09-21,8.5
2017-09-22,2017-09-22,8.5
2017-09-23,2017-09-23,8.5
2017-09-24,2017-09-24,8.5
2017-09-25,2017-09-25,8.5
2017-09-26,2017-09-26,8.5
2017-09-27,2017-09-27,8.5
2017-09-28,2017-09-28,8.5
2017-09-29,2017-09-29,8.5
2017-09-30,2017-09-30,8.5
2017-10-01,2017-10-01,8.5
2017-10-02,2017-10-02,8.5
2017-10-03,2017-10-03,8.5
2017-10-04,2017-10-04,8.5
2017-10-05,2017-10-05,8.5
2017-10-06,2017-10-06,8.5
2017-10-07,2017-10-07,8.5
2017-10-08,2017-10-08,8.5
2017-10-09,2017-10-09,8.5
2017-10-10,2017-10-10,8.5
2017-10-11,2017-10-11,8.5
2017-10-12,2017-10-12,8.5
2017-10-13,2017-10-13,8.5
2017-10-14,2017-10-14,8.5
2017-10-15,2017-10-15,8.5
2017-10-16,2017-10-16,8.5
2017-10-17,2017-10-17,8.5
2017-10-18,2017-10-18,8.5
2017-10-19,2017-10-19,8.5
2017-10-20,2017-10-20,8.5
2017-10-21,2017-10-21,8.5
2017-10-22,2017-10-22,8.5
2017-10-23,2017-10-23,8.5
2017-10-24,2017-10-24,8.5
2017-10-25,2017-10-25,8.5
2017-10-26,2017-10-26,8.5
2017-10-27,2017-10-27,8.5
2017-10-28,2017-10-28,8.5
2017-10-29,2017-10-29,8.5
2017-10-30,2017-10-30,8.25
2017-10-31,2017-10-31,8.25
2017-11-01,2017-11-01,8.25
2017-11-02,2017-11-02,8.25
2017-11-03,2017-11-03,8.25
2017-11-04,2017-11-04,8.25
2017-11-05,2017-11-05,8.25
2017-11-06,2017-11-06,8.25
2017-11-07,2017-11-07,8.25
2017-11-08,2017-11-08,8.25
2017-11-09,2017-11-09,8.25
2017-11-10,2017-11-10,8.25
2017-11-11,2017-11-11,8.25
2017-11-12,2017-11-12,8.25
2017-11-13,2017-11-13,8.25
2017-11-14,2017-11-14,8.25
2017-11-15,2017-11-15,8.25
2017-11-16,2017-11-16,8.25
2017-11-17,2017-11-17,8.25
2017-11-18,2017-11-18,8.25
2017-11-19,2017-11-19,8.25
2017-11-20,2017-11-20,8.25
2017-11-21,2017-11-21,8.25
2017-11-22,2017-11-22,8.25
2017-11-23,2017-11-23,8.25
2017-11-24,2017-11-24,8.25
2017-11-25,2017-11-25,8.25
2017-11-26,2017-11-26,8.25
2017-11-27,2017-11-27,8.25
2017-11-28,2017-11-28,8.25
2017-11-29,2017-11-29,8.25
2017-11-30,2017-11-30,8.25
2017-12-01,2017-12-01,8.25
2017-12-02,2017-12-02,8.25
