<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20170721;0;59.0823;59.0823;59.0823;59.0823;0
USDCB;D;20170722;0;58.9325;58.9325;58.9325;58.9325;0
USDCB;D;20170725;0;59.6572;59.6572;59.6572;59.6572;0
USDCB;D;20170726;0;59.8185;59.8185;59.8185;59.8185;0
USDCB;D;20170727;0;59.9102;59.9102;59.9102;59.9102;0
USDCB;D;20170728;0;59.4102;59.4102;59.4102;59.4102;0
USDCB;D;20170729;0;59.5436;59.5436;59.5436;59.5436;0
USDCB;D;20170801;0;60.0633;60.0633;60.0633;60.0633;0
USDCB;D;20170802;0;59.8454;59.8454;59.8454;59.8454;0
USDCB;D;20170803;0;60.5819;60.5819;60.5819;60.5819;0
USDCB;D;20170804;0;60.7503;60.7503;60.7503;60.7503;0
USDCB;D;20170805;0;60.3281;60.3281;60.3281;60.3281;0
USDCB;D;20170808;0;60.0605;60.0605;60.0605;60.0605;0
USDCB;D;20170809;0;59.9886;59.9886;59.9886;59.9886;0
USDCB;D;20170810;0;59.9611;59.9611;59.9611;59.9611;0
USDCB;D;20170811;0;59.9298;59.9298;59.9298;59.9298;0
USDCB;D;20170812;0;60.1873;60.1873;60.1873;60.1873;0
USDCB;D;20170815;0;59.799;59.799;59.799;59.799;0
USDCB;D;20170816;0;59.9266;59.9266;59.9266;59.9266;0
USDCB;D;20170817;0;59.6521;59.6521;59.6521;59.6521;0
USDCB;D;20170818;0;59.249;59.249;59.249;59.249;0
USDCB;D;20170819;0;59.3612;59.3612;59.3612;59.3612;0
USDCB;D;20170822;0;59.1409;59.1409;59.1409;59.1409;0
USDCB;D;20170823;0;59.0396;59.0396;59.0396;59.0396;0
USDCB;D;20170824;0;59.1312;59.1312;59.1312;59.1312;0
USDCB;D;20170825;0;59.1397;59.1397;59.1397;59.1397;0
USDCB;D;20170826;0;59.1476;59.1476;59.1476;59.1476;0
USDCB;D;20170829;0;58.5469;58.5469;58.5469;58.5469;0
USDCB;D;20170830;0;58.532;58.532;58.532;58.532;0
USDCB;D;20170831;0;58.7306;58.7306;58.7306;58.7306;0
USDCB;D;20170901;0;58.5454;58.5454;58.5454;58.5454;0
USDCB;D;20170902;0;58.0557;58.0557;58.0557;58.0557;0
USDCB;D;20170905;0;57.7817;57.7817;57.7817;57.7817;0
USDCB;D;20170906;0;57.8503;57.8503;57.8503;57.8503;0
USDCB;D;20170907;0;57.3387;57.3387;57.3387;57.3387;0
USDCB;D;20170908;0;57.1411;57.1411;57.1411;57.1411;0
USDCB;D;20170909;0;56.9966;56.9966;56.9966;56.9966;0
USDCB;D;20170912;0;57.1694;57.1694;57.1694;57.1694;0
USDCB;D;20170913;0;57.2656;57.2656;57.2656;57.2656;0
USDCB;D;20170914;0;57.6679;57.6679;57.6679;57.6679;0
USDCB;D;20170915;0;57.7706;57.7706;57.7706;57.7706;0
USDCB;D;20170916;0;57.5336;57.5336;57.5336;57.5336;0
USDCB;D;20170919;0;57.6242;57.6242;57.6242;57.6242;0
USDCB;D;20170920;0;58.0993;58.0993;58.0993;58.0993;0
USDCB;D;20170921;0;58.129;58.129;58.129;58.129;0
USDCB;D;20170922;0;58.2242;58.2242;58.2242;58.2242;0
USDCB;D;20170923;0;57.6527;57.6527;57.6527;57.6527;0
USDCB;D;20170926;0;57.566;57.566;57.566;57.566;0
USDCB;D;20170927;0;57.5186;57.5186;57.5186;57.5186;0
USDCB;D;20170928;0;58.0102;58.0102;58.0102;58.0102;0
USDCB;D;20170929;0;58.4255;58.4255;58.4255;58.4255;0
USDCB;D;20170930;0;58.0169;58.0169;58.0169;58.0169;0
USDCB;D;20171003;0;57.8134;57.8134;57.8134;57.8134;0
USDCB;D;20171004;0;57.9375;57.9375;57.9375;57.9375;0
USDCB;D;20171005;0;57.7832;57.7832;57.7832;57.7832;0
USDCB;D;20171006;0;57.5811;57.5811;57.5811;57.5811;0
USDCB;D;20171007;0;57.7612;57.7612;57.7612;57.7612;0
USDCB;D;20171010;0;58.3151;58.3151;58.3151;58.3151;0
USDCB;D;20171011;0;58.0713;58.0713;58.0713;58.0713;0
USDCB;D;20171012;0;57.921;57.921;57.921;57.921;0
USDCB;D;20171013;0;57.6869;57.6869;57.6869;57.6869;0
